,en,t,r,chi,fit_a,fit_c,fit_hw,fit_gw,fit_lw,fit_pv,fit_skew
130,25000,500,-300.0,-30,0.5664049023116889,-0.0001108241755839,0.000204113724786,1.2621511767643096e-05,1.4820341538929144e-05,0.9374371936839988,-3.082006770247544
131,25000,600,-400.0,30,0.5937547368555405,0.0001268905938586,0.0002362166781442,1.277486227223168e-05,2.302768851857461e-05,0.967880206276824,3.123828160105407
132,25000,500,1500.0,30,0.6861592451139005,-3.662230215611879e-05,5.589829165451495e-05,1.1772487313157189e-05,1.9386538412593488e-05,0.9470709086623316,33.89588242704393
133,31000,400,-500.0,-35,0.6699243327462355,-9.050683112281368e-05,0.0001671482799072,1.0104783854309642e-05,2.199644143935505e-05,0.9715064912229878,-58.0610739973755
134,30000,500,2000.0,-35,0.7854731798973998,2.870821568863137e-05,4.277037532197623e-05,9.844528508236082e-06,1.6844606306415918e-05,0.9509095918804116,-259.9472964545393
135,35000,400,500.0,-40,0.6033854550299592,0.0001015857751024,0.0001893246586883,9.1976965720442e-06,2.025828474537297e-05,0.9768471370409808,-30.888818988257736
136,29000,400,-2000.0,30,0.7965215133429824,2.127210112227709e-05,2.9229692561977423e-05,9.938053689513878e-06,1.6547328568896475e-05,0.9425650505455226,35.489019175175244
137,35000,500,5000.0,-40,0.8053396045437565,1.299583664179383e-05,1.4467311676836106e-05,7.871131362780816e-06,1.091459724076706e-05,0.913411167932892,-17.241227811561224
138,31000,500,6000.0,40,0.7309703954546174,-1.2124569335921308e-05,1.172215603048053e-05,8.571237642338718e-06,1.103481059882362e-05,0.8873237164600183,16.744068793843265
139,30000,600,-6000.0,-30,0.6801793382745459,-9.720170464578984e-06,8.562638158689199e-06,8.514603554052087e-06,1.011718319475539e-05,0.852211971063095,-16.382853829099673
140,31000,400,300.0,35,0.5169953974103653,-0.0001412791760912,0.0002673980034635,1.0021159512975903e-05,1.7954955772745675e-05,0.965182921285484,-46.19777352051655
141,35000,400,-1000.0,35,0.8084625392240076,4.911153064028434e-05,8.612537158970011e-05,8.824665120946848e-06,1.6345309834955127e-05,0.9649924597842278,63.66968010512401
142,29000,600,-1000.0,30,0.7557476053887958,6.442713883478297e-05,0.0001143872421521,1.0593880449613729e-05,1.8992432598150424e-05,0.9623282717630816,124.84038903677146
143,35000,400,-400.0,35,0.5502410008091533,0.0001207693778371,0.0002289924277525,8.989783942715346e-06,1.048434533456164e-05,0.9374892391922308,3.0701509178217177
144,31000,600,400.0,-35,0.5716715506426834,0.000104740719376,0.0001943227594082,1.0059405528060767e-05,1.830762711860649e-05,0.966361838512676,7.099619100083364
145,29000,500,700.0,30,0.7492184454215267,-7.744662787876033e-05,0.0001388545630505,1.0693487192799848e-05,2.0586161621891583e-05,0.9666576570056116,87.67965080181449
146,31000,500,-3000.0,-30,0.7818810897752343,-1.6409984429930553e-05,2.067388427371189e-05,9.07617559062052e-06,1.4077946438371826e-05,0.930358038688078,-17.0760176762508
147,29000,500,-3000.0,-40,0.7362822807367039,-2.058735272090676e-05,2.818632709419221e-05,9.85477739795508e-06,1.587850076476667e-05,0.9375289965736876,-16.760425109400924
148,35000,600,500.0,-35,0.5993995582972028,0.0001106279913822,0.0002078310905644,8.90455696781682e-06,1.3498575568898496e-05,0.9567621328011944,3.126623816677125
149,30000,400,700.0,-30,0.7743499207159757,5.736233573483245e-05,9.940913556211952e-05,1.0268183582742172e-05,1.867715422611455e-05,0.9635018229600522,-71.31701289646672
150,31000,500,1000.0,40,0.775297065799188,-7.074567627781729e-05,0.0001262489338622,9.992739069910518e-06,1.8549394092893062e-05,0.9654106372408492,119.76062210578682
151,31000,400,-1500.0,-35,0.8287238808480152,-2.996725115394841e-05,4.6869191722008896e-05,9.635606311405154e-06,1.699253491024948e-05,0.9554054872749784,-35.887069452232424
152,31000,400,-4000.0,-35,0.7713114664352004,-1.1040851809258184e-05,1.1023657723694604e-05,8.540702981501975e-06,1.091407870109264e-05,0.8855705551517169,-17.036760912121803
153,35000,500,-700.0,40,0.6932009527660695,9.955943620204822e-05,0.0001860806930497,9.579241633665748e-06,2.6153531089467084e-05,0.9848188200707778,7.44920816628336
154,35000,400,-6000.0,35,0.7912785331981544,7.95660422454402e-06,6.679502734278585e-06,7.257375941068404e-06,8.455679405420054e-06,0.8502443150417203,17.145308578590736
155,29000,400,400.0,35,0.6286168412898226,-0.0001038258518984,0.0001914723676259,1.066721848905878e-05,1.8504377735031853e-05,0.9629965945311256,-23.49930735439491
156,29000,600,1500.0,30,0.7591350780296005,-4.348964414171533e-05,7.155696631938022e-05,1.0400954908144992e-05,1.806375150422761e-05,0.956854866194686,70.9585337215322
157,29000,500,-400.0,30,0.6318534569051404,0.0001106190993457,0.000206097317922,1.085785182362886e-05,1.264520933753717e-05,0.936741585673307,3.1780968645379923
158,29000,600,-6000.0,30,0.6646023247185451,1.0487747191593696e-05,9.654567093226115e-06,8.883758974355987e-06,1.0773245315318442e-05,0.8599270809503963,16.273377046199208
159,25000,500,-700.0,30,0.6953341801553772,7.719098651468332e-05,0.0001378070841537,1.2273295957543438e-05,2.3210365092928027e-05,0.9635746103992644,160.61256999920911
160,31000,600,300.0,-35,0.4867462238871837,0.0001156245251871,0.0002159938009788,1.011093882745572e-05,1.87052711782812e-05,0.967721227721054,5.831895814670606
