"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
6.65400e+4	1.68449e+14
6.66733e+4	1.67211e+14
6.68067e+4	1.65981e+14
6.69400e+4	1.64759e+14
6.70733e+4	1.63547e+14
6.72066e+4	1.62342e+14
6.73400e+4	1.61146e+14
6.74733e+4	1.59959e+14
6.76066e+4	1.58780e+14
6.77399e+4	1.57609e+14
6.78733e+4	1.56446e+14
6.80066e+4	1.55291e+14
6.81399e+4	1.54145e+14
6.82733e+4	1.53007e+14
6.84066e+4	1.51876e+14
6.85399e+4	1.50754e+14
6.86732e+4	1.49640e+14
6.88066e+4	1.48533e+14
6.89399e+4	1.47434e+14
6.90732e+4	1.46343e+14
6.92065e+4	1.45260e+14
6.93399e+4	1.44184e+14
6.94732e+4	1.43116e+14
6.96065e+4	1.42056e+14
6.97398e+4	1.41003e+14
6.98732e+4	1.39958e+14
7.00065e+4	1.38920e+14
7.01398e+4	1.37889e+14
7.02732e+4	1.36865e+14
7.04065e+4	1.35849e+14
7.05398e+4	1.34840e+14
7.06731e+4	1.33839e+14
7.08065e+4	1.32844e+14
7.09398e+4	1.31857e+14
7.10731e+4	1.30876e+14
7.12064e+4	1.29903e+14
7.13398e+4	1.28936e+14
7.14731e+4	1.27976e+14
7.16064e+4	1.27024e+14
7.17397e+4	1.26078e+14
7.18731e+4	1.25138e+14
7.20064e+4	1.24206e+14
7.21397e+4	1.23280e+14
7.22731e+4	1.22361e+14
7.24064e+4	1.21448e+14
7.25397e+4	1.20542e+14
7.26730e+4	1.19642e+14
7.28064e+4	1.18749e+14
7.29397e+4	1.17862e+14
7.30730e+4	1.16982e+14
7.32063e+4	1.16108e+14
7.33397e+4	1.15240e+14
7.34730e+4	1.14379e+14
7.36063e+4	1.13523e+14
7.37396e+4	1.12674e+14
7.38730e+4	1.11831e+14
7.40063e+4	1.10994e+14
7.41396e+4	1.10163e+14
7.42730e+4	1.09338e+14
7.44063e+4	1.08519e+14
7.45396e+4	1.07706e+14
7.46729e+4	1.06898e+14
7.48063e+4	1.06097e+14
7.49396e+4	1.05301e+14
7.50729e+4	1.04511e+14
7.52062e+4	1.03727e+14
7.53396e+4	1.02949e+14
7.54729e+4	1.02176e+14
7.56062e+4	1.01408e+14
7.57395e+4	1.00647e+14
7.58729e+4	9.98905e+13
7.60062e+4	9.91398e+13
7.61395e+4	9.83945e+13
7.62729e+4	9.76546e+13
7.64062e+4	9.69201e+13
7.65395e+4	9.61909e+13
7.66728e+4	9.54671e+13
7.68062e+4	9.47485e+13
7.69395e+4	9.40351e+13
7.70728e+4	9.33269e+13
7.72061e+4	9.26239e+13
7.73395e+4	9.19260e+13
7.74728e+4	9.12331e+13
7.76061e+4	9.05453e+13
7.77394e+4	8.98626e+13
7.78728e+4	8.91848e+13
7.80061e+4	8.85119e+13
7.81394e+4	8.78440e+13
7.82728e+4	8.71810e+13
7.84061e+4	8.65227e+13
7.85394e+4	8.58693e+13
7.86727e+4	8.52207e+13
7.88061e+4	8.45768e+13
7.89394e+4	8.39377e+13
7.90727e+4	8.33032e+13
7.92060e+4	8.26733e+13
7.93394e+4	8.20481e+13
7.94727e+4	8.14275e+13
7.96060e+4	8.08114e+13
7.97393e+4	8.01998e+13
7.98727e+4	7.95927e+13
8.00060e+4	7.89901e+13
8.01393e+4	7.83919e+13
8.02727e+4	7.77980e+13
8.04060e+4	7.72086e+13
8.05393e+4	7.66235e+13
8.06726e+4	7.60426e+13
8.08060e+4	7.54661e+13
8.09393e+4	7.48938e+13
8.10726e+4	7.43257e+13
8.12059e+4	7.37618e+13
8.13393e+4	7.32020e+13
8.14726e+4	7.26464e+13
8.16059e+4	7.20949e+13
8.17392e+4	7.15474e+13
8.18726e+4	7.10040e+13
8.20059e+4	7.04645e+13
8.21392e+4	6.99291e+13
8.22726e+4	6.93976e+13
8.24059e+4	6.88700e+13
8.25392e+4	6.83464e+13
8.26725e+4	6.78266e+13
8.28059e+4	6.73106e+13
8.29392e+4	6.67985e+13
8.30725e+4	6.62902e+13
8.32058e+4	6.57856e+13
8.33392e+4	6.52847e+13
8.34725e+4	6.47876e+13
8.36058e+4	6.42942e+13
8.37391e+4	6.38044e+13
8.38725e+4	6.33182e+13
8.40058e+4	6.28356e+13
8.41391e+4	6.23567e+13
8.42725e+4	6.18812e+13
8.44058e+4	6.14093e+13
8.45391e+4	6.09410e+13
8.46724e+4	6.04760e+13
8.48058e+4	6.00146e+13
8.49391e+4	5.95566e+13
8.50724e+4	5.91019e+13
8.52057e+4	5.86507e+13
8.53391e+4	5.82028e+13
8.54724e+4	5.77583e+13
8.56057e+4	5.73170e+13
8.57390e+4	5.68791e+13
8.58724e+4	5.64444e+13
8.60057e+4	5.60129e+13
8.61390e+4	5.55847e+13
8.62724e+4	5.51596e+13
8.64057e+4	5.47378e+13
8.65390e+4	5.43190e+13
8.66723e+4	5.39034e+13
8.68057e+4	5.34909e+13
8.69390e+4	5.30815e+13
8.70723e+4	5.26751e+13
8.72056e+4	5.22718e+13
8.73390e+4	5.18715e+13
8.74723e+4	5.14742e+13
8.76056e+4	5.10798e+13
8.77389e+4	5.06884e+13
8.78723e+4	5.02999e+13
8.80056e+4	4.99143e+13
8.81389e+4	4.95317e+13
8.82723e+4	4.91518e+13
8.84056e+4	4.87749e+13
8.85389e+4	4.84007e+13
8.86722e+4	4.80294e+13
8.88056e+4	4.76608e+13
8.89389e+4	4.72950e+13
8.90722e+4	4.69320e+13
8.92055e+4	4.65716e+13
8.93389e+4	4.62140e+13
8.94722e+4	4.58591e+13
8.96055e+4	4.55068e+13
8.97388e+4	4.51572e+13
8.98722e+4	4.48102e+13
9.00055e+4	4.44658e+13
9.01388e+4	4.41239e+13
9.02722e+4	4.37847e+13
9.04055e+4	4.34480e+13
9.05388e+4	4.31139e+13
9.06721e+4	4.27822e+13
9.08055e+4	4.24531e+13
9.09388e+4	4.21264e+13
9.10721e+4	4.18022e+13
9.12054e+4	4.14804e+13
9.13388e+4	4.11611e+13
9.14721e+4	4.08441e+13
9.16054e+4	4.05296e+13
9.17387e+4	4.02174e+13
9.18721e+4	3.99076e+13
9.20054e+4	3.96001e+13
9.21387e+4	3.92949e+13
9.22721e+4	3.89921e+13
9.24054e+4	3.86915e+13
9.25387e+4	3.83932e+13
9.26720e+4	3.80971e+13
9.28054e+4	3.78033e+13
9.29387e+4	3.75117e+13
9.30720e+4	3.72223e+13
9.32053e+4	3.69351e+13
9.33387e+4	3.66501e+13
9.34720e+4	3.63672e+13
9.36053e+4	3.60864e+13
9.37386e+4	3.58078e+13
9.38720e+4	3.55313e+13
9.40053e+4	3.52569e+13
